18 24
0 0 P
0 1 1
0 2 e
0 3 1
0 4 e
0 5 1
0 6 0
0 7 1
0 8 P
0 9 1
0 10 e
0 11 1
0 12 e
0 13 1
0 14 0
0 15 1
0 16 P
0 17 1
0 18 e
0 19 1
0 20 e
0 21 1
0 22 0
0 23 1
1 0 0
1 1 P
1 2 0
1 3 K
1 4 0
1 5 P
1 6 0
1 7 K
1 8 0
1 9 P
1 10 0
1 11 K
1 12 0
1 13 P
1 14 0
1 15 K
1 16 0
1 17 P
1 18 0
1 19 K
1 20 0
1 21 P
1 22 0
1 23 K
2 0 1
2 1 0
2 2 1
2 3 0
2 4 1
2 5 1
2 6 P
2 7 0
2 8 1
2 9 0
2 10 1
2 11 0
2 12 1
2 13 1
2 14 P
2 15 0
2 16 1
2 17 0
2 18 1
2 19 0
2 20 1
2 21 1
2 22 P
2 23 0
3 0 E
3 1 C
3 2 1
3 3 1
3 4 E
3 5 E
3 6 1
3 7 e
3 8 E
3 9 1
3 10 1
3 11 1
3 12 E
3 13 E
3 14 1
3 15 e
3 16 E
3 17 1
3 18 1
3 19 1
3 20 E
3 21 E
3 22 1
3 23 e
4 0 P
4 1 0
4 2 0
4 3 p
4 4 0
4 5 1
4 6 1
4 7 0
4 8 P
4 9 0
4 10 0
4 11 p
4 12 0
4 13 1
4 14 1
4 15 0
4 16 P
4 17 0
4 18 0
4 19 p
4 20 0
4 21 1
4 22 1
4 23 0
5 0 0
5 1 1
5 2 0
5 3 1
5 4 0
5 5 K
5 6 0
5 7 0
5 8 0
5 9 1
5 10 0
5 11 1
5 12 0
5 13 K
5 14 0
5 15 0
5 16 0
5 17 1
5 18 0
5 19 1
5 20 0
5 21 K
5 22 0
5 23 0
6 0 1
6 1 0
6 2 e
6 3 0
6 4 P
6 5 1
6 6 p
6 7 1
6 8 1
6 9 0
6 10 e
6 11 0
6 12 P
6 13 1
6 14 p
6 15 1
6 16 1
6 17 0
6 18 e
6 19 0
6 20 P
6 21 1
6 22 p
6 23 1
7 0 1
7 1 E
7 2 1
7 3 1
7 4 0
7 5 1
7 6 0
7 7 1
7 8 1
7 9 E
7 10 1
7 11 1
7 12 0
7 13 1
7 14 0
7 15 1
7 16 1
7 17 E
7 18 1
7 19 1
7 20 0
7 21 1
7 22 0
7 23 1
8 0 1
8 1 0
8 2 1
8 3 1
8 4 P
8 5 0
8 6 e
8 7 1
8 8 1
8 9 0
8 10 1
8 11 1
8 12 P
8 13 0
8 14 e
8 15 1
8 16 1
8 17 0
8 18 1
8 19 1
8 20 P
8 21 0
8 22 e
8 23 1
9 0 0
9 1 0
9 2 K
9 3 1
9 4 p
9 5 1
9 6 0
9 7 P
9 8 0
9 9 0
9 10 K
9 11 1
9 12 p
9 13 1
9 14 0
9 15 P
9 16 0
9 17 0
9 18 K
9 19 1
9 20 p
9 21 1
9 22 0
9 23 P
10 0 e
10 1 1
10 2 p
10 3 0
10 4 0
10 5 K
10 6 1
10 7 0
10 8 e
10 9 1
10 10 p
10 11 0
10 12 0
10 13 K
10 14 1
10 15 0
10 16 e
10 17 1
10 18 p
10 19 0
10 20 0
10 21 K
10 22 1
10 23 0
11 0 0
11 1 1
11 2 1
11 3 0
11 4 1
11 5 1
11 6 e
11 7 E
11 8 0
11 9 1
11 10 1
11 11 0
11 12 1
11 13 1
11 14 e
11 15 E
11 16 0
11 17 1
11 18 1
11 19 0
11 20 1
11 21 1
11 22 e
11 23 E
12 0 p
12 1 K
12 2 1
12 3 E
12 4 1
12 5 0
12 6 1
12 7 0
12 8 p
12 9 K
12 10 1
12 11 E
12 12 1
12 13 0
12 14 1
12 15 0
12 16 p
12 17 K
12 18 1
12 19 E
12 20 1
12 21 0
12 22 1
12 23 0
13 0 1
13 1 e
13 2 0
13 3 0
13 4 E
13 5 E
13 6 0
13 7 0
13 8 1
13 9 e
13 10 0
13 11 0
13 12 E
13 13 E
13 14 0
13 15 0
13 16 1
13 17 e
13 18 0
13 19 0
13 20 E
13 21 E
13 22 0
13 23 0
14 0 0
14 1 0
14 2 1
14 3 0
14 4 0
14 5 1
14 6 0
14 7 1
14 8 0
14 9 0
14 10 1
14 11 0
14 12 0
14 13 1
14 14 0
14 15 1
14 16 0
14 17 0
14 18 1
14 19 0
14 20 0
14 21 1
14 22 0
14 23 1
15 0 p
15 1 1
15 2 1
15 3 1
15 4 0
15 5 1
15 6 G
15 7 0
15 8 p
15 9 1
15 10 1
15 11 1
15 12 0
15 13 1
15 14 0
15 15 0
15 16 p
15 17 1
15 18 1
15 19 1
15 20 0
15 21 1
15 22 0
15 23 0
16 0 0
16 1 1
16 2 p
16 3 1
16 4 0
16 5 K
16 6 0
16 7 p
16 8 0
16 9 1
16 10 p
16 11 1
16 12 0
16 13 K
16 14 0
16 15 p
16 16 0
16 17 1
16 18 p
16 19 1
16 20 0
16 21 K
16 22 0
16 23 p
17 0 e
17 1 0
17 2 0
17 3 1
17 4 e
17 5 1
17 6 E
17 7 1
17 8 e
17 9 0
17 10 0
17 11 1
17 12 e
17 13 1
17 14 E
17 15 1
17 16 e
17 17 0
17 18 0
17 19 1
17 20 e
17 21 1
17 22 E
17 23 1
