18 8
0 0 P
0 1 1
0 2 e
0 3 1
0 4 e
0 5 1
0 7 1
1 1 P
1 3 K
1 5 P
1 7 K
2 0 1
2 2 1
2 4 1
2 5 1
2 6 P
3 0 E
3 1 C
3 2 1
3 3 1
3 4 E
3 5 E
3 6 1
3 7 e
4 0 P
4 3 p
4 5 1
4 6 1
5 1 1
5 3 1
5 5 K
6 0 1
6 2 e
6 4 P
6 5 1
6 6 p
6 7 1
7 0 1
7 1 E
7 2 1
7 3 1
7 4 0
7 5 1
7 6 0
7 7 1
8 0 1
8 1 0
8 2 1
8 3 1
8 4 P
8 5 0
8 6 e
8 7 1
9 0 0
9 1 0
9 2 K
9 3 1
9 4 p
9 5 1
9 6 0
9 7 P
10 0 e
10 1 1
10 2 p
10 3 0
10 4 0
10 5 K
10 6 1
10 7 0
11 0 0
11 1 1
11 2 1
11 3 0
11 4 1
11 5 1
11 6 e
11 7 E
12 0 p
12 1 K
12 2 1
12 3 E
12 4 1
12 6 1
13 0 1
13 1 e
13 4 E
13 5 E
14 2 1
14 5 1
14 7 1
15 0 p
15 1 1
15 2 1
15 3 1
15 5 1
15 6 G
16 1 1
16 2 p
16 3 1
16 5 K
16 7 p
17 0 e
17 3 1
17 4 e
17 5 1
17 6 E
17 7 1
